text_id	result
hasoc_hi_3722	HATE
hasoc_hi_2552	PRFN
hasoc_hi_4881	PRFN
hasoc_hi_6081	PRFN
hasoc_hi_809	HATE
hasoc_hi_6540	OFFN
hasoc_hi_7023	OFFN
hasoc_hi_7320	PRFN
hasoc_hi_923	PRFN
hasoc_hi_5554	OFFN
hasoc_hi_506	PRFN
hasoc_hi_5097	PRFN
hasoc_hi_4101	HATE
hasoc_hi_5408	HATE
hasoc_hi_248	PRFN
hasoc_hi_5120	OFFN
hasoc_hi_1958	OFFN
hasoc_hi_1580	OFFN
hasoc_hi_5349	HATE
hasoc_hi_3382	HATE
hasoc_hi_74	PRFN
hasoc_hi_7014	OFFN
hasoc_hi_2921	PRFN
hasoc_hi_3442	OFFN
hasoc_hi_1626	HATE
hasoc_hi_7581	OFFN
hasoc_hi_4951	HATE
hasoc_hi_397	HATE
hasoc_hi_4671	OFFN
hasoc_hi_7128	OFFN
hasoc_hi_5783	PRFN
hasoc_hi_7630	HATE
hasoc_hi_4359	HATE
hasoc_hi_7191	OFFN
hasoc_hi_3283	PRFN
hasoc_hi_3898	OFFN
hasoc_hi_2684	PRFN
hasoc_hi_4810	OFFN
hasoc_hi_5010	PRFN
hasoc_hi_2110	HATE
hasoc_hi_3292	HATE
hasoc_hi_2848	PRFN
hasoc_hi_2790	PRFN
hasoc_hi_6906	HATE
hasoc_hi_4066	HATE
hasoc_hi_4120	OFFN
hasoc_hi_2252	HATE
hasoc_hi_4876	PRFN
hasoc_hi_6657	HATE
hasoc_hi_3154	OFFN
hasoc_hi_1265	HATE
hasoc_hi_3330	PRFN
hasoc_hi_5716	HATE
hasoc_hi_5817	HATE
hasoc_hi_5392	HATE
hasoc_hi_7405	HATE
hasoc_hi_5035	OFFN
hasoc_hi_5641	PRFN
hasoc_hi_3395	PRFN
hasoc_hi_2606	OFFN
hasoc_hi_1308	OFFN
hasoc_hi_7004	PRFN
hasoc_hi_4722	PRFN
hasoc_hi_7383	OFFN
hasoc_hi_6429	PRFN
hasoc_hi_1544	PRFN
hasoc_hi_7415	HATE
hasoc_hi_4085	PRFN
hasoc_hi_5678	PRFN
hasoc_hi_3233	HATE
hasoc_hi_6105	HATE
hasoc_hi_4763	OFFN
hasoc_hi_7642	PRFN
hasoc_hi_958	PRFN
hasoc_hi_2395	HATE
hasoc_hi_3978	OFFN
hasoc_hi_1343	HATE
hasoc_hi_5422	OFFN
hasoc_hi_1298	OFFN
hasoc_hi_5270	HATE
hasoc_hi_7750	PRFN
hasoc_hi_3910	PRFN
hasoc_hi_4027	OFFN
hasoc_hi_3196	OFFN
hasoc_hi_2686	PRFN
hasoc_hi_2310	HATE
hasoc_hi_7423	PRFN
hasoc_hi_2333	PRFN
hasoc_hi_3522	OFFN
hasoc_hi_4497	OFFN
hasoc_hi_2936	HATE
hasoc_hi_182	PRFN
hasoc_hi_52	OFFN
hasoc_hi_7737	PRFN
hasoc_hi_2200	OFFN
hasoc_hi_6702	OFFN
hasoc_hi_6269	HATE
hasoc_hi_7279	PRFN
hasoc_hi_153	PRFN
hasoc_hi_4868	HATE
hasoc_hi_2134	OFFN
hasoc_hi_1874	HATE
hasoc_hi_4307	OFFN
hasoc_hi_415	PRFN
hasoc_hi_3267	OFFN
hasoc_hi_5371	OFFN
hasoc_hi_7525	OFFN
hasoc_hi_3193	HATE
hasoc_hi_1768	PRFN
hasoc_hi_2065	PRFN
hasoc_hi_139	HATE
hasoc_hi_761	OFFN
hasoc_hi_6369	OFFN
hasoc_hi_3297	PRFN
hasoc_hi_6388	HATE
hasoc_hi_6009	PRFN
hasoc_hi_3055	HATE
hasoc_hi_2195	PRFN
hasoc_hi_5986	OFFN
hasoc_hi_3258	PRFN
hasoc_hi_584	OFFN
hasoc_hi_165	HATE
hasoc_hi_403	PRFN
hasoc_hi_3232	HATE
hasoc_hi_4313	PRFN
hasoc_hi_6602	OFFN
hasoc_hi_5853	HATE
hasoc_hi_5045	HATE
hasoc_hi_1876	PRFN
hasoc_hi_3499	PRFN
hasoc_hi_7684	PRFN
hasoc_hi_7653	OFFN
hasoc_hi_1234	OFFN
hasoc_hi_636	OFFN
hasoc_hi_2621	PRFN
hasoc_hi_1514	HATE
hasoc_hi_6824	OFFN
hasoc_hi_1963	HATE
hasoc_hi_1907	HATE
hasoc_hi_7547	HATE
hasoc_hi_7706	HATE
hasoc_hi_399	OFFN
hasoc_hi_7639	OFFN
hasoc_hi_2302	HATE
hasoc_hi_4692	OFFN
hasoc_hi_7183	HATE
hasoc_hi_313	PRFN
hasoc_hi_1282	PRFN
hasoc_hi_5926	PRFN
hasoc_hi_5989	OFFN
hasoc_hi_3067	PRFN
hasoc_hi_3750	HATE
hasoc_hi_3031	HATE
hasoc_hi_1585	HATE
hasoc_hi_3942	OFFN
hasoc_hi_2063	HATE
hasoc_hi_3105	PRFN
hasoc_hi_3927	PRFN
hasoc_hi_3557	PRFN
hasoc_hi_2219	OFFN
hasoc_hi_2537	OFFN
hasoc_hi_4061	HATE
hasoc_hi_1158	HATE
hasoc_hi_6526	OFFN
hasoc_hi_6204	HATE
hasoc_hi_3582	OFFN
hasoc_hi_2004	PRFN
hasoc_hi_5012	PRFN
hasoc_hi_4610	HATE
hasoc_hi_2919	PRFN
hasoc_hi_1632	PRFN
hasoc_hi_4251	HATE
hasoc_hi_6734	HATE
hasoc_hi_1149	HATE
hasoc_hi_1062	HATE
hasoc_hi_5703	PRFN
hasoc_hi_7699	HATE
hasoc_hi_2987	HATE
hasoc_hi_1553	PRFN
hasoc_hi_6629	PRFN
hasoc_hi_3180	PRFN
hasoc_hi_2657	PRFN
hasoc_hi_3186	OFFN
hasoc_hi_2677	PRFN
hasoc_hi_4012	HATE
hasoc_hi_3671	PRFN
hasoc_hi_5823	HATE
hasoc_hi_3511	PRFN
hasoc_hi_3453	PRFN
hasoc_hi_5693	OFFN
hasoc_hi_1685	OFFN
hasoc_hi_317	PRFN
hasoc_hi_1894	HATE
hasoc_hi_2535	OFFN
hasoc_hi_2218	PRFN
hasoc_hi_2671	PRFN
hasoc_hi_5980	HATE
hasoc_hi_334	HATE
hasoc_hi_5672	OFFN
hasoc_hi_4130	PRFN
hasoc_hi_1272	OFFN
hasoc_hi_5574	HATE
hasoc_hi_3106	PRFN
hasoc_hi_5690	HATE
hasoc_hi_1916	PRFN
hasoc_hi_4911	PRFN
hasoc_hi_3857	HATE
hasoc_hi_2432	PRFN
hasoc_hi_6125	PRFN
hasoc_hi_3164	OFFN
hasoc_hi_5453	HATE
hasoc_hi_3197	OFFN
hasoc_hi_5374	OFFN
hasoc_hi_3966	HATE
hasoc_hi_1121	HATE
hasoc_hi_502	PRFN
hasoc_hi_7343	HATE
hasoc_hi_3965	OFFN
hasoc_hi_1971	HATE
hasoc_hi_3294	PRFN
hasoc_hi_254	PRFN
hasoc_hi_2404	PRFN
hasoc_hi_3590	PRFN
hasoc_hi_472	HATE
hasoc_hi_2869	HATE
hasoc_hi_5765	HATE
hasoc_hi_1646	HATE
hasoc_hi_4329	OFFN
hasoc_hi_3221	OFFN
hasoc_hi_5607	HATE
hasoc_hi_5335	PRFN
hasoc_hi_2347	HATE
hasoc_hi_2806	PRFN
hasoc_hi_4897	OFFN
hasoc_hi_4850	PRFN
hasoc_hi_5727	HATE
hasoc_hi_2184	OFFN
hasoc_hi_3432	HATE
hasoc_hi_1642	PRFN
hasoc_hi_6478	OFFN
hasoc_hi_3793	HATE
hasoc_hi_5363	HATE
hasoc_hi_5651	HATE
hasoc_hi_2430	HATE
hasoc_hi_122	OFFN
hasoc_hi_1517	PRFN
hasoc_hi_7040	OFFN
hasoc_hi_6193	PRFN
hasoc_hi_3335	HATE
hasoc_hi_2157	PRFN
hasoc_hi_17	PRFN
hasoc_hi_1674	PRFN
hasoc_hi_289	OFFN
hasoc_hi_6963	PRFN
hasoc_hi_5548	PRFN
hasoc_hi_7047	HATE
hasoc_hi_2977	PRFN
hasoc_hi_2923	PRFN
hasoc_hi_38	OFFN
hasoc_hi_817	PRFN
hasoc_hi_4326	OFFN
hasoc_hi_7287	OFFN
hasoc_hi_95	OFFN
hasoc_hi_3990	PRFN
hasoc_hi_4647	HATE
hasoc_hi_494	HATE
hasoc_hi_7687	PRFN
hasoc_hi_2942	PRFN
hasoc_hi_6543	PRFN
hasoc_hi_1779	HATE
hasoc_hi_2719	PRFN
hasoc_hi_1633	OFFN
hasoc_hi_13	OFFN
hasoc_hi_6505	OFFN
hasoc_hi_4185	HATE
hasoc_hi_3364	PRFN
hasoc_hi_4574	PRFN
hasoc_hi_1283	HATE
hasoc_hi_3146	OFFN
hasoc_hi_5246	HATE
hasoc_hi_3686	OFFN
hasoc_hi_305	PRFN
hasoc_hi_4382	PRFN
hasoc_hi_6585	OFFN
hasoc_hi_4809	HATE
hasoc_hi_3778	HATE
hasoc_hi_3812	PRFN
hasoc_hi_6328	PRFN
hasoc_hi_837	HATE
hasoc_hi_2051	OFFN
hasoc_hi_3795	HATE
hasoc_hi_5115	OFFN
hasoc_hi_6688	HATE
hasoc_hi_3501	HATE
hasoc_hi_3558	OFFN
hasoc_hi_4097	PRFN
hasoc_hi_4118	HATE
hasoc_hi_7482	HATE
hasoc_hi_1584	HATE
hasoc_hi_640	OFFN
hasoc_hi_6960	PRFN
hasoc_hi_7387	PRFN
hasoc_hi_2648	OFFN
hasoc_hi_3103	OFFN
hasoc_hi_2525	HATE
hasoc_hi_7130	OFFN
hasoc_hi_6308	PRFN
hasoc_hi_6067	PRFN
hasoc_hi_5449	OFFN
hasoc_hi_2852	PRFN
hasoc_hi_392	HATE
hasoc_hi_2727	HATE
hasoc_hi_2798	HATE
hasoc_hi_2453	OFFN
hasoc_hi_7129	OFFN
hasoc_hi_6029	PRFN
hasoc_hi_3738	HATE
hasoc_hi_7402	HATE
hasoc_hi_6297	OFFN
hasoc_hi_5331	HATE
hasoc_hi_1712	PRFN
hasoc_hi_3038	OFFN
hasoc_hi_4922	PRFN
hasoc_hi_5133	PRFN
hasoc_hi_866	PRFN
hasoc_hi_6776	HATE
hasoc_hi_960	PRFN
hasoc_hi_689	OFFN
hasoc_hi_5612	PRFN
hasoc_hi_2593	PRFN
hasoc_hi_5058	HATE
hasoc_hi_4291	HATE
hasoc_hi_5711	PRFN
hasoc_hi_7420	HATE
hasoc_hi_3543	PRFN
hasoc_hi_7349	PRFN
hasoc_hi_1169	PRFN
hasoc_hi_2738	PRFN
hasoc_hi_1321	OFFN
hasoc_hi_3206	PRFN
hasoc_hi_4335	OFFN
hasoc_hi_1885	HATE
hasoc_hi_1676	PRFN
hasoc_hi_1555	OFFN
hasoc_hi_882	HATE
hasoc_hi_6410	PRFN
hasoc_hi_4791	HATE
hasoc_hi_6179	HATE
hasoc_hi_359	HATE
hasoc_hi_4147	HATE
hasoc_hi_4149	PRFN
hasoc_hi_7284	HATE
hasoc_hi_1903	OFFN
hasoc_hi_1510	HATE
hasoc_hi_6591	HATE
hasoc_hi_437	OFFN
hasoc_hi_1931	PRFN
hasoc_hi_4207	OFFN
hasoc_hi_6680	OFFN
hasoc_hi_5393	OFFN
hasoc_hi_1156	PRFN
hasoc_hi_4702	PRFN
hasoc_hi_5535	PRFN
hasoc_hi_4303	HATE
hasoc_hi_1291	OFFN
hasoc_hi_2741	OFFN
hasoc_hi_2152	OFFN
hasoc_hi_4636	PRFN
hasoc_hi_6115	PRFN
hasoc_hi_5274	HATE
hasoc_hi_1672	OFFN
hasoc_hi_7330	HATE
hasoc_hi_653	PRFN
hasoc_hi_1829	OFFN
hasoc_hi_1755	HATE
hasoc_hi_7271	PRFN
hasoc_hi_7633	PRFN
hasoc_hi_6974	HATE
hasoc_hi_928	HATE
hasoc_hi_6195	OFFN
hasoc_hi_3316	PRFN
hasoc_hi_4358	OFFN
hasoc_hi_6919	HATE
hasoc_hi_1565	HATE
hasoc_hi_4108	PRFN
hasoc_hi_7622	PRFN
hasoc_hi_1297	HATE
hasoc_hi_7400	HATE
hasoc_hi_3760	PRFN
hasoc_hi_3295	OFFN
hasoc_hi_1728	PRFN
hasoc_hi_1331	OFFN
hasoc_hi_1457	HATE
hasoc_hi_6988	OFFN
hasoc_hi_5013	PRFN
hasoc_hi_7072	PRFN
hasoc_hi_3024	PRFN
hasoc_hi_7540	OFFN
hasoc_hi_4424	OFFN
hasoc_hi_2913	PRFN
hasoc_hi_333	HATE
hasoc_hi_3533	PRFN
hasoc_hi_5437	HATE
hasoc_hi_7242	PRFN
hasoc_hi_3513	OFFN
hasoc_hi_5225	OFFN
hasoc_hi_1141	PRFN
hasoc_hi_327	OFFN
hasoc_hi_2786	PRFN
hasoc_hi_187	PRFN
hasoc_hi_5922	PRFN
hasoc_hi_1198	OFFN
hasoc_hi_279	PRFN
hasoc_hi_1981	PRFN
hasoc_hi_2619	PRFN
hasoc_hi_1709	PRFN
hasoc_hi_2649	HATE
hasoc_hi_4141	OFFN
hasoc_hi_2112	PRFN
hasoc_hi_4661	HATE
hasoc_hi_6953	OFFN
hasoc_hi_2277	HATE
hasoc_hi_5669	HATE
hasoc_hi_6294	HATE
hasoc_hi_2957	OFFN
hasoc_hi_5544	HATE
hasoc_hi_312	OFFN
hasoc_hi_6782	PRFN
hasoc_hi_5957	OFFN
hasoc_hi_1109	PRFN
hasoc_hi_7498	OFFN
hasoc_hi_5991	HATE
hasoc_hi_282	OFFN
hasoc_hi_3955	HATE
hasoc_hi_3307	PRFN
hasoc_hi_5432	PRFN
hasoc_hi_90	OFFN
hasoc_hi_3615	OFFN
hasoc_hi_7135	OFFN
hasoc_hi_5881	OFFN
hasoc_hi_5006	PRFN
hasoc_hi_5715	OFFN
hasoc_hi_5290	OFFN
hasoc_hi_5793	HATE
hasoc_hi_3064	PRFN
hasoc_hi_1657	PRFN
hasoc_hi_1069	PRFN
hasoc_hi_6384	HATE
hasoc_hi_5110	PRFN
hasoc_hi_2708	PRFN
hasoc_hi_505	OFFN
hasoc_hi_5484	PRFN
hasoc_hi_5471	OFFN
hasoc_hi_6807	OFFN
hasoc_hi_3971	OFFN
hasoc_hi_2272	PRFN
hasoc_hi_1652	HATE
hasoc_hi_3755	PRFN
hasoc_hi_7785	OFFN
hasoc_hi_2650	PRFN
hasoc_hi_6866	HATE
hasoc_hi_2836	OFFN
hasoc_hi_4298	HATE
hasoc_hi_1258	HATE
hasoc_hi_5844	PRFN
hasoc_hi_2456	OFFN
hasoc_hi_2003	OFFN
hasoc_hi_1530	HATE
hasoc_hi_3852	OFFN
hasoc_hi_3088	HATE
hasoc_hi_626	HATE
hasoc_hi_2342	OFFN
hasoc_hi_3670	PRFN
hasoc_hi_499	PRFN
hasoc_hi_5023	PRFN
hasoc_hi_1896	HATE
hasoc_hi_7019	OFFN
hasoc_hi_4355	OFFN
hasoc_hi_2514	PRFN
hasoc_hi_3123	OFFN
hasoc_hi_1071	HATE
hasoc_hi_4828	HATE
hasoc_hi_6473	PRFN
hasoc_hi_4729	PRFN
hasoc_hi_5835	HATE
hasoc_hi_2592	PRFN
hasoc_hi_1317	HATE
hasoc_hi_5043	PRFN
hasoc_hi_7708	OFFN
hasoc_hi_4651	HATE
hasoc_hi_7253	PRFN
hasoc_hi_1625	OFFN
hasoc_hi_5965	HATE
hasoc_hi_4884	HATE
hasoc_hi_5904	HATE
hasoc_hi_3498	PRFN
hasoc_hi_5731	OFFN
hasoc_hi_6518	HATE
hasoc_hi_2124	HATE
hasoc_hi_7105	OFFN
hasoc_hi_3259	PRFN
hasoc_hi_4165	PRFN
hasoc_hi_4035	HATE
hasoc_hi_724	PRFN
hasoc_hi_2773	PRFN
hasoc_hi_7231	OFFN
hasoc_hi_5725	OFFN
hasoc_hi_2090	NONE
hasoc_hi_864	NONE
hasoc_hi_54	NONE
hasoc_hi_6768	NONE
hasoc_hi_163	NONE
hasoc_hi_1947	NONE
hasoc_hi_715	NONE
hasoc_hi_2180	NONE
hasoc_hi_5233	NONE
hasoc_hi_770	NONE
hasoc_hi_6873	NONE
hasoc_hi_3936	NONE
hasoc_hi_7459	NONE
hasoc_hi_5936	NONE
hasoc_hi_7240	NONE
hasoc_hi_674	NONE
hasoc_hi_6073	NONE
hasoc_hi_4033	NONE
hasoc_hi_19	NONE
hasoc_hi_5190	NONE
hasoc_hi_3183	NONE
hasoc_hi_5080	NONE
hasoc_hi_2894	NONE
hasoc_hi_4747	NONE
hasoc_hi_6267	NONE
hasoc_hi_4551	NONE
hasoc_hi_197	NONE
hasoc_hi_3424	NONE
hasoc_hi_6980	NONE
hasoc_hi_4605	NONE
hasoc_hi_6815	NONE
hasoc_hi_5790	NONE
hasoc_hi_5258	NONE
hasoc_hi_6578	NONE
hasoc_hi_3877	NONE
hasoc_hi_7486	NONE
hasoc_hi_3326	NONE
hasoc_hi_4367	NONE
hasoc_hi_6639	NONE
hasoc_hi_2600	NONE
hasoc_hi_6614	NONE
hasoc_hi_5210	NONE
hasoc_hi_3222	NONE
hasoc_hi_3418	NONE
hasoc_hi_4715	NONE
hasoc_hi_374	NONE
hasoc_hi_47	NONE
hasoc_hi_7412	NONE
hasoc_hi_1886	NONE
hasoc_hi_6484	NONE
hasoc_hi_810	NONE
hasoc_hi_7474	NONE
hasoc_hi_3889	NONE
hasoc_hi_1210	NONE
hasoc_hi_314	NONE
hasoc_hi_68	NONE
hasoc_hi_6747	NONE
hasoc_hi_2924	NONE
hasoc_hi_140	NONE
hasoc_hi_2853	NONE
hasoc_hi_6295	NONE
hasoc_hi_7252	NONE
hasoc_hi_3269	NONE
hasoc_hi_3970	NONE
hasoc_hi_3698	NONE
hasoc_hi_5162	NONE
hasoc_hi_4432	NONE
hasoc_hi_2030	NONE
hasoc_hi_2166	NONE
hasoc_hi_963	NONE
hasoc_hi_2613	NONE
hasoc_hi_2720	NONE
hasoc_hi_1053	NONE
hasoc_hi_316	NONE
hasoc_hi_55	NONE
hasoc_hi_5222	NONE
hasoc_hi_733	NONE
hasoc_hi_5480	NONE
hasoc_hi_521	NONE
hasoc_hi_2624	NONE
hasoc_hi_3261	NONE
hasoc_hi_5177	NONE
hasoc_hi_5186	NONE
hasoc_hi_6395	NONE
hasoc_hi_4515	NONE
hasoc_hi_1784	NONE
hasoc_hi_2368	NONE
hasoc_hi_2937	NONE
hasoc_hi_2336	NONE
hasoc_hi_3777	NONE
hasoc_hi_4111	NONE
hasoc_hi_6086	NONE
hasoc_hi_3625	NONE
hasoc_hi_2728	NONE
hasoc_hi_7414	NONE
hasoc_hi_4553	NONE
hasoc_hi_5083	NONE
hasoc_hi_6895	NONE
hasoc_hi_1233	NONE
hasoc_hi_4982	NONE
hasoc_hi_2706	NONE
hasoc_hi_3660	NONE
hasoc_hi_5705	NONE
hasoc_hi_6852	NONE
hasoc_hi_321	NONE
hasoc_hi_6107	NONE
hasoc_hi_2672	NONE
hasoc_hi_884	NONE
hasoc_hi_3930	NONE
hasoc_hi_6934	NONE
hasoc_hi_1953	NONE
hasoc_hi_34	NONE
hasoc_hi_1232	NONE
hasoc_hi_5873	NONE
hasoc_hi_2485	NONE
hasoc_hi_5942	NONE
hasoc_hi_1247	NONE
hasoc_hi_4949	NONE
hasoc_hi_4617	NONE
hasoc_hi_6314	NONE
hasoc_hi_596	NONE
hasoc_hi_3779	NONE
hasoc_hi_7665	NONE
hasoc_hi_6991	NONE
hasoc_hi_4143	NONE
hasoc_hi_5789	NONE
hasoc_hi_4961	NONE
hasoc_hi_4555	NONE
hasoc_hi_1995	NONE
hasoc_hi_3248	NONE
hasoc_hi_6810	NONE
hasoc_hi_5722	NONE
hasoc_hi_3831	NONE
hasoc_hi_7049	NONE
hasoc_hi_1342	NONE
hasoc_hi_7636	NONE
hasoc_hi_5316	NONE
hasoc_hi_7755	NONE
hasoc_hi_5207	NONE
hasoc_hi_5417	NONE
hasoc_hi_5094	NONE
hasoc_hi_3383	NONE
hasoc_hi_4452	NONE
hasoc_hi_6679	NONE
hasoc_hi_3278	NONE
hasoc_hi_6827	NONE
hasoc_hi_2726	NONE
hasoc_hi_4774	NONE
hasoc_hi_6324	NONE
hasoc_hi_6470	NONE
hasoc_hi_2774	NONE
hasoc_hi_7460	NONE
hasoc_hi_3805	NONE
hasoc_hi_6392	NONE
hasoc_hi_4178	NONE
hasoc_hi_2871	NONE
hasoc_hi_2614	NONE
hasoc_hi_2337	NONE
hasoc_hi_173	NONE
hasoc_hi_7199	NONE
hasoc_hi_883	NONE
hasoc_hi_3492	NONE
hasoc_hi_6360	NONE
hasoc_hi_3161	NONE
hasoc_hi_1813	NONE
hasoc_hi_4819	NONE
hasoc_hi_5550	NONE
hasoc_hi_4447	NONE
hasoc_hi_3626	NONE
hasoc_hi_4626	NONE
hasoc_hi_3265	NONE
hasoc_hi_2875	NONE
hasoc_hi_589	NONE
hasoc_hi_7594	NONE
hasoc_hi_6525	NONE
hasoc_hi_3373	NONE
hasoc_hi_3271	NONE
hasoc_hi_7429	NONE
hasoc_hi_2415	NONE
hasoc_hi_4997	NONE
hasoc_hi_1933	NONE
hasoc_hi_1949	NONE
hasoc_hi_5313	NONE
hasoc_hi_602	NONE
hasoc_hi_363	NONE
hasoc_hi_3619	NONE
hasoc_hi_183	NONE
hasoc_hi_2809	NONE
hasoc_hi_1559	NONE
hasoc_hi_2643	NONE
hasoc_hi_3451	NONE
hasoc_hi_2416	NONE
hasoc_hi_583	NONE
hasoc_hi_5033	NONE
hasoc_hi_6617	NONE
hasoc_hi_5712	NONE
hasoc_hi_5602	NONE
hasoc_hi_846	NONE
hasoc_hi_4299	NONE
hasoc_hi_4589	NONE
hasoc_hi_7761	NONE
hasoc_hi_1936	NONE
hasoc_hi_782	NONE
hasoc_hi_5589	NONE
hasoc_hi_4788	NONE
hasoc_hi_3784	NONE
hasoc_hi_3607	NONE
hasoc_hi_4672	NONE
hasoc_hi_7176	NONE
hasoc_hi_2971	NONE
hasoc_hi_1701	NONE
hasoc_hi_4293	NONE
hasoc_hi_4473	NONE
hasoc_hi_6662	NONE
hasoc_hi_3559	NONE
hasoc_hi_5902	NONE
hasoc_hi_6660	NONE
hasoc_hi_4176	NONE
hasoc_hi_7167	NONE
hasoc_hi_223	NONE
hasoc_hi_868	NONE
hasoc_hi_1622	NONE
hasoc_hi_7070	NONE
hasoc_hi_4576	NONE
hasoc_hi_5153	NONE
hasoc_hi_1079	NONE
hasoc_hi_780	NONE
hasoc_hi_5855	NONE
hasoc_hi_6042	NONE
hasoc_hi_545	NONE
hasoc_hi_3127	NONE
hasoc_hi_319	NONE
hasoc_hi_2279	NONE
hasoc_hi_138	NONE
hasoc_hi_3239	NONE
hasoc_hi_2035	NONE
hasoc_hi_4065	NONE
hasoc_hi_2633	NONE
hasoc_hi_2550	NONE
hasoc_hi_1133	NONE
hasoc_hi_5541	NONE
hasoc_hi_4319	NONE
hasoc_hi_1105	NONE
hasoc_hi_708	NONE
hasoc_hi_2306	NONE
hasoc_hi_573	NONE
hasoc_hi_6677	NONE
hasoc_hi_7596	NONE
hasoc_hi_7117	NONE
hasoc_hi_680	NONE
hasoc_hi_5963	NONE
hasoc_hi_5952	NONE
hasoc_hi_1775	NONE
hasoc_hi_4768	NONE
hasoc_hi_3142	NONE
hasoc_hi_1391	NONE
